FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,BALTIMORE,MD,"BALTIMORE, MD (1303)",Air,Conveyances,Air,1
2022,FYTD,APR,Coastal/Interior,BALTIMORE,MD,"BALTIMORE, MD (1303)",Air,Travelers,Air,12
2022,FYTD,APR,Coastal/Interior,BALTIMORE,MD,BWI AIRPORT (1305),Air,Conveyances,Air,335
2022,FYTD,APR,Coastal/Interior,BALTIMORE,MD,BWI AIRPORT (1305),Air,Travelers,Air,40834
2022,FYTD,APR,Coastal/Interior,BALTIMORE,NJ,"USR FEE,ATLANTIC CITY,NJ (1182)",Air,Conveyances,Air,8
2022,FYTD,APR,Coastal/Interior,BALTIMORE,NJ,"USR FEE,ATLANTIC CITY,NJ (1182)",Air,Travelers,Air,367
2022,FYTD,APR,Coastal/Interior,BALTIMORE,NJ,"USR FEE,TRENTN/MERCER,NJ (1183)",Air,Conveyances,Air,31
2022,FYTD,APR,Coastal/Interior,BALTIMORE,NJ,"USR FEE,TRENTN/MERCER,NJ (1183)",Air,Travelers,Air,208
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"ALLENTOWN, PA (1119)",Air,Conveyances,Air,12
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"ALLENTOWN, PA (1119)",Air,Travelers,Air,56
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"HARRISBURG, PA (1109)",Air,Conveyances,Air,13
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"HARRISBURG, PA (1109)",Air,Travelers,Air,60
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,PHILA. INTL. AIRPORT (1108),Air,Conveyances,Air,686
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,PHILA. INTL. AIRPORT (1108),Air,Travelers,Air,117108
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"PHILADELPHIA, PA (1101)",Air,Conveyances,Air,3
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"PHILADELPHIA, PA (1101)",Air,Travelers,Air,16
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Conveyances,Air,57
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Travelers,Air,3129
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"WILKES-BARRE/SCRANTON,PA (1106)",Air,Conveyances,Air,3
2022,FYTD,APR,Coastal/Interior,BALTIMORE,PA,"WILKES-BARRE/SCRANTON,PA (1106)",Air,Travelers,Air,15
2022,FYTD,APR,Coastal/Interior,BALTIMORE,VA,"ALEXANDRIA, VA (5402)",Air,Conveyances,Air,43
2022,FYTD,APR,Coastal/Interior,BALTIMORE,VA,"ALEXANDRIA, VA (5402)",Air,Travelers,Air,266
2022,FYTD,APR,Coastal/Interior,BALTIMORE,VA,"WASHINGTON, DC (5401)",Air,Conveyances,Air,1611
2022,FYTD,APR,Coastal/Interior,BALTIMORE,VA,"WASHINGTON, DC (5401)",Air,Travelers,Air,273184
2022,FYTD,APR,Coastal/Interior,CHICAGO,IA,DAVENPORT-ROCK ISLAND (3908),Air,Conveyances,Air,6
2022,FYTD,APR,Coastal/Interior,CHICAGO,IA,DAVENPORT-ROCK ISLAND (3908),Air,Travelers,Air,34
2022,FYTD,APR,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Conveyances,Air,7
2022,FYTD,APR,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Travelers,Air,35
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Conveyances,Air,2686
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Travelers,Air,398844
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,DUPAGE AIRPORT AUTH. (3984),Air,Conveyances,Air,20
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,DUPAGE AIRPORT AUTH. (3984),Air,Travelers,Air,141
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,MIDWAY INT'L AIRPORT (3910),Air,Conveyances,Air,343
