New Brunswick / Nouveau-Brunswick,266544,314342,274113.5,261554,327130,254662
Quebec / Québec,510156.5,561791,515734.5,481467,645606.5,508688
Ontario,2650019.5,2892024,2715002,2440524,3379285,2896250
Yukon,2153.5,2296,2608,2555,4735.5,4693
British Columbia / Colombie-Britannique,1258508.5,1458188,1343778,1168817,1666600,1272695
Manitoba,115314,123962,118648.5,110338,161477.5,127497
Alberta,57096.5,59009,58860,49740,67939.5,55668
Saskatchewan,31363,34980,34445.5,30975,34410.5,29973
